record_id,region_code,country_name,country_code,survey_acronym,reporting_year,reporting_level,survey_coverage,survey_year,welfare_type,survey_comparability,comparable_spell,poverty_line,headcount,poverty_gap,poverty_severity,watts,mean,median,mld,gini,polarization,decile1,decile2,decile3,decile4,decile5,decile6,decile7,decile8,decile9,decile10,cpi,ppp,reporting_pop,reporting_gdp,reporting_pce,is_interpolated,distribution_type,estimation_type
22,ECA,Albania,ALB,HBS,2018,national,national,2018,consumption,3,"2018 - 2020",2.15,0.000481,0.0000564,0.00000674,0.00006,13.31650708,11.63997615,0.152404414,0.301482817,0.265930116,0.031698258,0.04768175,0.059720402,0.07073262,0.081351626,0.093452783,0.107472967,0.125971412,0.154495057,0.227423123,1.020280552,50.35737228,2866376,4431.555607,3461.664383,0,micro,survey
23,LAC,Argentina,ARG,EPH,1991,urban,urban,1991,income,0,"1980 - 1991",2.15,0.009720286,0.006411143,0.005323411,0.002476835,22.81104021,15.11462828,0.382435561,0.467617391,0.405790135,0.017441499,0.030524456,0.040591253,0.050023313,0.060585516,0.072383538,0.088909053,0.114074817,0.159373502,0.366093053,328.9091827,10.80793953,28910601,8762.661384,NULL,0,micro,survey
24,NULL,Armenia,ARM,ILCS,2018,national,national,2018,consumption,1,"1999 - 2018",2.15,0.013398209,0.002240027,0.000572,0.002612876,8.794251526,6.935608495,0.200198275,0.344334977,0.254528273,0.032971339,0.048075277,0.057092439,0.065350221,0.074168488,0.084572924,0.096069532,0.111703391,0.138002604,0.291993786,1.02520236,167.3122101,2836557,4215.899398,3392.41175,0,micro,survey
25,ECA,Albania,ALB,SILC-C,2018,national,national,2018,income,4,"2016 - 2018",2.15,0.038929823,0.01132212,0.005091756,0.015600487,10.89724168,9.19962847,0.233051287,0.359887519,0.319245033,0.021487139,0.038549062,0.05140692,0.063940379,0.077296017,0.091350137,0.106725256,0.126787115,0.162439287,0.260018688,1.020280552,50.35737228,2866376,4431.555607,3461.664383,0,micro,survey
26,LAC,Argentina,ARG,EPH,1992,urban,urban,1992,income,1,"1992 - 1997",2.15,0.016737125,0.011135736,0.009694732,0.004297708,23.00445865,15.80751669,0.369329514,0.45468093,0.427538369,0.016000995,0.030004013,0.040696539,0.05124021,0.062113623,0.076519338,0.09418862,0.120620901,0.165744545,0.342871217,0.038807526,10.80793953,29386348,9327.859451,NULL,0,micro,survey
27,ECA,Armenia,ARM,ILCS,2019,national,national,2019,consumption,2,"2019 - 2021",2.15,0.010300698,0.001231627,0.000288,0.001417068,7.906313711,6.71398856,0.151652273,0.300312122,0.226951987,0.037479488,0.051875845,0.061253098,0.070722111,0.080417295,0.089499226,0.10084103,0.115799123,0.139652237,0.252460549,1.040000634,167.3122101,2820602,4561.967803,3804.307522,0,micro,survey
28,ECA,Albania,ALB,HBS,2019,national,national,2019,consumption,3,"2018 - 2020",2.15,0,0,0,0,13.74983081,11.61152396,0.147458802,0.301157683,0.262333875,0.035337648,0.049755714,0.060139034,0.069449346,0.079357223,0.090391239,0.103818639,0.123165676,0.152239338,0.236346142,1.034677628,50.35737228,2854191,4543.387723,3591.292587,0,micro,survey
29,ECA,Albania,ALB,HBS,2020,national,national,2020,consumption,3,"2018 - 2020",2.15,0.000213,0.0000115,0.000000624,0.0000118,13.95218978,12.06470661,0.142736286,0.294196298,0.256354313,0.034134175,0.050295079,0.060906266,0.071085082,0.081071822,0.092195578,0.105649717,0.124423076,0.152643201,0.227596003,1.051448609,50.35737228,2837849,4418.660885,3489.233443,0,micro,survey
30,ECA,Armenia,ARM,ILCS,2020,national,national,2020,consumption,2,"2019 - 2021",2.15,0.003520105,0.000574,0.000155,0.000676,7.47310463,6.619425842,0.103866343,0.251316039,0.201878924,0.043764855,0.058518378,0.067510307,0.07555043,0.084374221,0.093374978,0.103719891,0.11790851,0.140715064,0.214563366,1.052599541,167.3122101,2805608,4256.131232,3290.298742,0,micro,survey
31,NULL,"United Arab Emirates",ARE,HIES,2013,national,NULL,2013.42,income,0,"2013 - 2018",2.15,0,0,0,0,72.45095059,65.14401583,0.195333586,0.325104209,0.323293051,0.023497327,0.038642841,0.053066228,0.067383153,0.082186396,0.09817662,0.116355091,0.13842758,0.16791161,0.214353155,0.915027112,2.834843874,8751847,38034.9684,15943.33436,0,group,survey
32,ECA,Armenia,ARM,ILCS,2021,national,national,2021,consumption,2,"2019 - 2021",2.15,0.005235208,0.000784,0.000191,0.000902,7.779151681,6.741889338,0.129754813,0.279401304,0.214394661,0.039655043,0.054532333,0.064443199,0.073143045,0.082081978,0.090937146,0.101740647,0.116538916,0.14139866,0.235529033,1.128227137,167.3122101,2790974,4522.319045,3428.784471,0,micro,survey
33,OHI,"United Arab Emirates",ARE,HIES,2018,national,national,2018,income,0,"2013 - 2018",2.15,0,0,0,0,78.77590282,72.12141495,0.111426854,0.259662791,0.239706538,0.039759358,0.052412547,0.063295557,0.074222421,0.085614309,0.097838729,0.111422286,0.127383255,0.148486057,0.199565481,1.030686345,2.834843874,9140169,43644.14705,16365.32017,0,group,survey
34,NULL,Australia,AUS,IHS-LIS,1981,national,national,1981,income,0,1981,2.15,0.00993503,0.004918515,0.003445464,0.010588556,38.33816507,32.32215774,0.187101839,0.313257871,0.281577578,0.027856402,0.048904803,0.059843977,0.069157596,0.078360926,0.090631899,0.106498233,0.127231233,0.158498567,0.233016363,0.259500787,1.52933526,14923260,31561.71717,17158.77497,0,micro,survey
35,LAC,Argentina,ARG,EPH,1980,urban,urban,1980,income,0,"1980 - 1991",2.15,0.003090125,0.00179086,0.00178086,0.000126,32.47283363,24.83071698,0.291847211,0.408308605,0.372898642,0.020098564,0.032864355,0.044929877,0.056978585,0.069689033,0.08394564,0.101224627,0.124679982,0.16383563,0.301753707,0.05489375,10.80793953,23228918,10270.95612,NULL,0,group,survey
36,NULL,Australia,AUS,IDS-LIS,1985,national,national,1985,income,1,1985,2.15,0.010013098,0.005805395,0.004176083,0.012865283,39.61470312,32.70826859,0.201839939,0.324976853,0.294280717,0.027124324,0.047595702,0.058746628,0.06728571,0.076847066,0.089399097,0.103996336,0.126513173,0.159595398,0.242896567,0.352822127,1.52933526,15788312,33338.53067,17764.75228,0,micro,survey
37,NULL,Argentina,ARG,EPH,1986,urban,urban,1986,income,0,"1980 - 1991",2.15,0.011191321,0.011106427,0.011064217,0.000116,35.16755176,25.36731716,0.331428293,0.42808887,0.384636536,0.017675407,0.033586144,0.043526124,0.055186303,0.066660243,0.079798046,0.097386907,0.120875148,0.163224851,0.322080828,0.014069943,10.80793953,26272907,9397.883608,NULL,0,micro,survey
38,OHI,Australia,AUS,SIHCA-LIS,1989,national,national,1989,income,2,"1989 - 2018",2.15,0.00744275,0.004541249,0.003480252,0.015164951,40.71300793,33.69312127,0.211510638,0.331538347,0.296600153,0.026409358,0.04630189,0.057174681,0.066519993,0.07653893,0.089698821,0.105472573,0.12622997,0.158985239,0.246668546,0.481448167,1.52933526,16814416,36592.545,19229.61436,0,micro,survey
39,LAC,Argentina,ARG,EPH,1993,urban,urban,1993,income,1,"1992 - 1997",2.15,0.019766662,0.011567195,0.009672119,0.004573996,23.05283862,16.15616138,0.366267042,0.448562859,0.421862677,0.014835973,0.029669297,0.040968342,0.052173285,0.064214671,0.07897913,0.096706842,0.123405901,0.167032667,0.332013892,0.042250333,10.80793953,29859584,9957.256522,6139.435157,0,micro,survey
40,OHI,Australia,AUS,SIH-LIS,1995,national,national,1995,income,2,"1989 - 2018",2.15,0.007497823,0.00617916,0.005422322,0.009196408,37.48886842,31.01807716,0.198391798,0.325819904,0.288204548,0.028529444,0.047188359,0.057778,0.066990832,0.077092006,0.089517059,0.104370242,0.124792683,0.157724364,0.24601701,0.584663818,1.52933526,18004882,39908.09508,20983.44095,0,micro,survey
41,LAC,Argentina,ARG,EPH,1994,urban,urban,1994,income,1,"1992 - 1997",2.15,0.019113266,0.013903355,0.012540567,0.003198482,22.77439813,15.62238741,0.380299865,0.459168036,0.427196324,0.014955482,0.028819745,0.039553345,0.050683118,0.063164287,0.077160348,0.095016096,0.1210343,0.165147499,0.344465781,0.04381074,10.80793953,30336257,10397.37929,6424.87141,0,micro,survey
42,OHI,Australia,AUS,SIH-LIS,2001,national,national,2001,income,2,"1989 - 2018",2.15,0.007474116,0.006168758,0.00539878,0.0087453,43.19191989,35.17693324,0.208054603,0.334647977,0.304972992,0.027497403,0.046370314,0.056154866,0.06517636,0.075539137,0.088977502,0.104554879,0.126802741,0.158270498,0.250656301,0.671239038,1.52933526,19274701,46883.29173,24839.55363,0,micro,survey
43,LAC,Argentina,ARG,EPH,1995,urban,urban,1995,income,1,"1992 - 1997",2.15,0.038554344,0.021997305,0.017947029,0.009316805,21.6338869,14.44122604,0.440659005,0.489044033,0.44764123,0.011322043,0.02629983,0.036858725,0.04734488,0.059117889,0.0735718,0.090748399,0.116846453,0.168133518,0.369756464,0.044761058,10.80793953,30809888,9969.331576,6063.19657,0,micro,survey
44,OHI,Australia,AUS,SIH-LIS,2003,national,national,2003,income,2,"1989 - 2018",2.15,0.009973307,0.007577681,0.006632666,0.019292657,44.54256992,36.37758585,0.221342216,0.335005161,0.301856942,0.027191936,0.046491121,0.056015979,0.065302336,0.075955511,0.088630458,0.104899433,0.126457363,0.158226967,0.250828897,0.710141669,1.52933526,19720737,49206.04311,26385.37191,0,micro,survey
45,LAC,Argentina,ARG,EPH,1996,urban,urban,1996,income,1,"1992 - 1997",2.15,0.042175672,0.027400525,0.02367733,0.014206876,21.19295713,13.85463726,0.460013725,0.495244294,0.471106631,0.010343961,0.024805829,0.035558239,0.046417728,0.058342612,0.073027525,0.091931146,0.119874007,0.170893137,0.368805816,0.044852673,10.80793953,31272164,10388.53871,6318.623328,0,micro,survey
46,NULL,"Burkina Faso",BFA,EP-II,1998,national,national,1998,consumption,1,"1998 - 2003",2.15,0.799178963,0.410690199,0.247602696,0.667085862,1.927792198,1.163497751,0.427856379,0.499439699,0.37113575,0.019894483,0.031556826,0.039846058,0.047339029,0.055646713,0.065350222,0.077701838,0.096850661,0.138368546,0.427445625,0.691591812,199.7413788,11201063,416.7416997,325.794648,0,micro,survey
47,OHI,Australia,AUS,SIH-HES-LIS,2004,national,national,2004,income,3,"2004 - 2010",2.15,0.007125372,0.004462558,0.004038219,0.017645968,48.47961592,39.83003796,0.207806586,0.330574095,0.289846954,0.030068557,0.047074067,0.056511189,0.065567809,0.07604734,0.088200401,0.103554919,0.124170202,0.155645349,0.253160167,0.7267821,1.52933526,19932722,50435.10328,27367.04391,0,micro,survey
48,LAC,Argentina,ARG,EPH,1997,urban,urban,1997,income,1,"1992 - 1997",2.15,0.037657508,0.021998772,0.018272515,0.010271798,22.20674195,14.83567952,0.449553617,0.491104752,0.473808896,0.010825259,0.024650819,0.035191835,0.046846662,0.059383126,0.073079782,0.09274431,0.120754079,0.172781677,0.363742451,0.045108742,10.80793953,31720057,11097.38206,6803.800693,0,micro,survey
49,NULL,Austria,AUT,EU-SILC,2017,national,national,2017,income,2,"2003 - 2020",2.15,0.003180896,0.002383206,0.00206698,0.005123403,64.19477811,57.02805566,0.165870476,0.29737585,0.246418515,0.030353649,0.049999472,0.061047724,0.071927101,0.083367082,0.094789724,0.107367195,0.123401926,0.147825993,0.229920136,1,0.830946147,8797566,45281.7234,23681.67157,0,micro,survey
50,NULL,Australia,AUS,SIH-LIS,2008,national,national,2008,income,2,"1989 - 2018",2.15,0.003612324,0.003090596,0.00264422,0.0069897,61.29653386,48.2494173,0.224777722,0.354285083,0.314299984,0.028004413,0.044272917,0.053414046,0.062653988,0.073523584,0.085699756,0.102097314,0.122847526,0.15333078,0.274155677,0.825275467,1.52933526,21249199,53326.95012,29817.68562,0,micro,survey
51,LAC,Argentina,ARG,EPH,1998,urban,urban,1998,income,2,"1998 - 2002",2.15,0.039691888,0.020836897,0.015865342,0.012583368,21.56379376,13.57286692,0.477404645,0.507336438,0.495062075,0.010650679,0.023429424,0.033649854,0.044350647,0.056355691,0.070649238,0.090547318,0.119587087,0.170264838,0.380515224,0.045607713,10.80793953,32160222,11391.94516,6959.169958,0,micro,survey
52,LAC,Argentina,ARG,EPH,1999,urban,urban,1999,income,2,"1998 - 2002",2.15,0.041879584,0.023673231,0.018929558,0.014529686,20.55468542,13.47960434,0.461811785,0.497920414,0.485471141,0.010706888,0.024184376,0.034641023,0.04522047,0.057956047,0.072911632,0.091867598,0.120911265,0.171116024,0.370484676,0.044682094,10.80793953,32603604,10880.20621,6741.994208,0,micro,survey
53,NULL,Australia,AUS,SIH-HES-LIS,2010,national,national,2010,income,3,"2004 - 2010",2.15,0.003491684,0.002961242,0.002511382,0.006579828,61.07591582,49.0015863,0.216345492,0.346567276,0.311974306,0.027492853,0.045227419,0.054774899,0.063438703,0.074099245,0.087074338,0.103094186,0.124309334,0.155909078,0.264579946,0.864402968,1.52933526,22031750,53868.84308,30493.34313,0,micro,survey
54,OHI,Austria,AUT,EU-SILC,2018,national,national,2018,income,2,"2003 - 2020",2.15,0.005683584,0.004744296,0.004288252,0.009430068,64.86730605,56.41074031,0.185810308,0.308487901,0.256059477,0.029457393,0.049255321,0.059611175,0.070357989,0.081415811,0.093005664,0.106918025,0.123200909,0.147605293,0.23917242,1.019983772,0.830946147,8840521,46154.6251,23827.4848,0,micro,survey
55,NULL,Argentina,ARG,EPH,2000,urban,urban,2000,income,2,"1998 - 2002",2.15,0.049882614,0.02705474,0.020654731,0.02091459,20.10494267,12.82030826,0.492796898,0.510639577,0.509470494,0.009485223,0.022374403,0.032494039,0.043272478,0.055986881,0.071752468,0.091073555,0.122062252,0.17449414,0.37700456,0.044369917,10.80793953,33045629,10672.72204,6622.047469,0,micro,survey
56,SSA,"Burkina Faso",BFA,ECVM,2003,national,national,2003,consumption,1,"1998 - 2003",2.15,0.547037376,0.220669529,0.111794466,0.321878979,2.807119049,1.892625449,0.315019236,0.432525114,0.400692526,0.022804532,0.034930751,0.044137551,0.052418958,0.06191462,0.076693243,0.092820188,0.116217121,0.160265562,0.337797473,0.746720667,199.7413788,13030591,470.1295826,369.2179565,0,micro,survey
57,OHI,Austria,AUT,EU-SILC,2019,national,national,2019,income,2,"2003 - 2020",2.15,0.006406389,0.004692565,0.004057917,0.013706404,66.16818574,57.64287039,0.182912315,0.302115515,0.254920933,0.028855686,0.049985337,0.061723142,0.071139756,0.081827167,0.093418142,0.107470821,0.123941319,0.149501579,0.232137051,1.035598702,0.830946147,8879920,46647.08096,23852.06571,0,micro,survey
58,NULL,Australia,AUS,SIH-LIS,2014,national,national,2014,income,2,"1989 - 2018",2.15,0.004984838,0.003747262,0.003106982,0.017190113,65.29173493,52.2745806,0.226975718,0.343994314,0.286314217,0.028444548,0.045990947,0.056135036,0.065541007,0.074665818,0.086549727,0.101244647,0.119956497,0.151637068,0.269834705,0.954126377,1.52933526,23475686,56513.79859,31647.06117,0,micro,survey
59,SSA,"Burkina Faso",BFA,ECVM,2009,national,national,2009,consumption,2,2009,2.15,0.526491697,0.182034099,0.083991168,0.252980683,2.837405504,2.05322455,0.263230019,0.397622364,0.330860553,0.027322573,0.039679621,0.048889557,0.05802869,0.067475063,0.079110364,0.093874295,0.115103308,0.15003692,0.32047961,0.91749726,199.7413788,15650022,535.5168345,396.9019238,0,micro,survey
60,LAC,Argentina,ARG,EPH,2001,urban,urban,2001,income,2,"1998 - 2002",2.15,0.082347868,0.04531902,0.035057121,0.033119657,18.51360411,11.44144786,0.550910501,0.53343106,0.53923283,0.006526376,0.019296527,0.030172267,0.040743382,0.05345152,0.069161626,0.08998961,0.120643874,0.175240686,0.394774131,0.043868061,10.80793953,33480950,10090.65344,6173.619578,0,micro,survey
61,NULL,"Burkina Faso",BFA,EMC,2014,national,national,2014,consumption,3,2014,2.15,0.396028587,0.095101035,0.032216681,0.117901337,3.277992804,2.448356737,0.201510627,0.353012275,0.285762281,0.0360137,0.047073998,0.05477917,0.062119416,0.070150975,0.080297085,0.093390853,0.112997322,0.147164497,0.296012984,0.973999914,199.7413788,18169842,626.6262508,449.1611886,0,micro,survey
62,OHI,Australia,AUS,SIH-HES-LIS,2016,national,NULL,2016,income,2,"1989 - 2018",2.15,0.004987418,0.003056541,0.002378118,0.00767345,63.78409409,51.96803685,0.20857864,0.336858104,0.292913138,0.028240067,0.045862179,0.056196408,0.065826047,0.075855171,0.088267913,0.1041991,0.124367964,0.15310223,0.258082922,0.980885991,1.52933526,24190907,57528.03683,32231.58374,0,micro,survey
63,LAC,Argentina,ARG,EPH,2002,urban,urban,2002,income,2,"1998 - 2002",2.15,0.124471545,0.048670509,0.028951005,0.05388313,13.00492075,7.848625419,0.54229858,0.537937583,0.535259836,0.008732535,0.018852683,0.028994097,0.040442682,0.053262761,0.068465644,0.086864926,0.116593716,0.172728282,0.405062673,0.060751838,10.80793953,33910889,8895.319642,5230.987075,0,micro,survey
64,SSA,"Burkina Faso",BFA,EHCVM,2018,national,national,2018.5,consumption,4,2018,2.15,0.31203823,0.084132701,0.031886354,0.108093181,4.284381087,2.883932261,0.304067434,0.430167316,0.364042256,0.0261909,0.037193418,0.045019592,0.053108787,0.062153049,0.07336612,0.088897084,0.11065554,0.150026115,0.353389395,1.035459535,199.7413788,20392723,696.0445709,458.5840044,0,micro,survey
65,NULL,Australia,AUS,SIH-LIS,2018,national,national,2018,income,2,"1989 - 2018",2.15,0.00497094,0.004034811,0.003437112,0.014309158,64.60964342,53.05049471,0.225616478,0.343337622,0.285310836,0.026835392,0.045858776,0.056267427,0.065387566,0.075543675,0.088060045,0.102666433,0.12165878,0.151587998,0.266133908,1.019114009,1.52933526,24966643,58673.99209,32740.08998,0,micro,survey
66,SAS,Bangladesh,BGD,HHES,1983,national,national,1983.5,consumption,0,"1983 - 1988",2.15,0.37284091,0.093271558,0.033454008,0.121597575,2.750621691,2.459166148,0.112143708,0.258764899,0.203966222,0.041265576,0.05589732,0.066792219,0.07612102,0.084952919,0.094094684,0.104512261,0.117992627,0.139715074,0.2186563,0.120589413,29.51408195,91045478,450.0340555,466.5112829,0,group,survey
67,LAC,Argentina,ARG,EPHC-S2,2003,urban,urban,2003,income,3,"2003 - 2021",2.15,0.052792626,0.019444568,0.011287099,0.023549263,18.40442954,11.59164894,0.486433638,0.50897157,0.512371355,0.010723923,0.022316373,0.032260089,0.043742163,0.055823531,0.071334406,0.092480098,0.122489185,0.171976993,0.376853239,0.063141302,10.80793953,34330154,9581.969792,5600.191174,0,micro,survey
68,NULL,Austria,AUT,ECHP-LIS,1994,national,national,1994,income,1,"1994 - 2000",2.15,0.002309148,0.000542,0.000127,0.000618,52.79821132,44.72874643,0.168462542,0.30828019,0.259637115,0.030554902,0.049836598,0.060541638,0.070438417,0.079637827,0.090856844,0.1049927,0.122973597,0.150217086,0.239950391,9.09721833,0.830946147,7936118,32962.81742,18935.76824,0,micro,survey
69,OHI,Austria,AUT,EU-SILC,2020,national,national,2020,income,2,"2003 - 2020",2.15,0.006835775,0.005783486,0.005209351,0.01312513,66.33993192,59.10353403,0.182147285,0.298017917,0.242345602,0.028479139,0.050712208,0.062234595,0.072393852,0.083197228,0.095084564,0.107002926,0.122548078,0.147368545,0.230978865,1.049909739,0.830946147,8916864,43455.70007,21846.82244,0,micro,survey
